<UNK> 1.0	SPN
BANG 1.0	b a N
BANGKA 1.0	b 6 N k a
BANGSAMORO 1.0	b 6 N s a m o r o
BANSA 1.0	b 6 n s a
BANTA 1.0	b 6 n t a
BARMM 1.0	b 6 r m
BASA 1.0	b 6 s a
BASCO 1.0	b 6 s k o
BASE 1.0	b ej s 
BATAAN 1.0	b 6 t a a n
BATANES 1.0	b 6 t a n e s
BATANGAS 1.0	b 6 t a N g 6 s
BATAY 1.0	b 6 t 6j
BAWAL 1.0	b 6 w 6 l
BAWAT 1.0	b 6 w a t
BAY 1.0	b ej
BAYBAYIN 1.0	b 6j b 6j i n
BAYBAYING 1.0	b 6j b 6j i N
BAYONG 1.0	b 6 j o N
BENGUET 1.0	b E n g V e t
BENISON 1.0	b E n i s o n
BENTE 1.0	b e n t e
BERNADETTE 1.0	b e r n a d e t
BHAGYA 1.0	b 6 g j a
BICOL 1.0	b i k o l
BIGLAANG 1.0	b i k l 6 a N
BIGLANG 1.0	b i k l 6 N
BIKOL 1.0	b i k o l
BIKTIMA 1.0	b i k t i m a
BILIRAN 1.0	b i l i r a n
BILIS 1.0	b i l i s
BINABANTAYAN 1.0	b i n a b 6 n t a j a n
BINABANTAYANG 1.0	b i n a b 6 n t a j a N
BINATAYAN 1.0	b i n a t 6 j a n
BINATILYO 1.0	b i n a t i l j o
BISITAHIN 1.0	b i s i t a h i n
BIYERNES 1.0	b i r n e s
BOHOL 1.0	b o h o l
BORACAY 1.0	b o r a k aj
BOUNDARY 1.0	b aw n d e r i
BREAK 1.0	b r ej k
BUBONG 1.0	b u b o N
BUBUTI 1.0	b u b u t i
BUENAVISTA 1.0	b u e n a v i s t a
BUGSO 1.0	b u k s o
BUGSONG 1.0	b u k s o N
BUHAWI 1.0	b u h a w i
BUHOS 1.0	b u h o s
BUKA 1.0	b u k a
BUKAS 1.0	b u k a s
BUKIDNON 1.0	b u k i t n o n
BULACAN 1.0	b u l 6 k a n
BULLETIN 1.0	b u l i t i n
BUMABA 1.0	b u m 6 b a
BUMAGSAK 1.0	b u m 6 s a k
BUMILIS 1.0	b u m i l i s
BUNDOK 1.0	b u n d o k
BUNTOT 1.0	b u n t o t
BUONG 1.0	b u o N
BUWAN 1.0	b u w 6 n
CABANATUAN 1.0	k 6 b 6 n 6 t u 6 n
CACAUSE 1.0	c ow c ow s
CAGAYAN 1.0	k 6 g 6 j a n
CALABARZON 1.0	k 6 l 6 b 6 r s o n
CALAPAN 1.0	k 6 l 6 p a n
CALAYAN 1.0	k 6 l 6 j a n 
CAMARINES 1.0	k 6 m 6 r i n e s
CAMIGUIN 1.0	k 6 m i g u i n
CAMP 1.0	k 6 m p
CAPIZ 1.0	k 6 p i s
CARAGA 1.0	k 6 r 6 g 6 
CASIGURAN 1.0	k 6 s i g u r a n
CATANDUANES 1.0	k 6 t a n d u 6 n e s
CATBALOGAN 1.0	k 6 t b 6 l o g a n
CATEGORY 1.0	l 6 t e g o r i
CAUSE 1.0	c ow s
CAVITE 1.0	k a v i t e 
CBN 1.0	s i b i e n 
CEBU 1.0	s e b u
CELSIUS 1.0	s e l s i u s 
CENTER 1.0	s e n t e r
CENTRAL 1.0	s e n t r a l
CENTRO 1.0	s e n t r o
CHANCE 1.0	tS a n S
CI 1.0	S
CITIES 1.0	S t i e S
CITY 1.0	S t i
CLOSE 1.0	k l o s 
COAST 1.0	k o a s t
COLD 1.0	k o l d
COM 1.0	k o m
COMPANY 1.0	k o m p a n i
COMPOSTELA 1.0	k o m p o s t e l 6
CONDITION 1.0	k o n d i S o n
CONVERGENCE 1.0	k o n v e r g e n c e
COOL 1.0	k U l
CORDILLERA 1.0	k o r d i l e r a
COTABATO 1.0	k o t 6 b 6 t o
COUNTRY 1.0	k aw n t r i
CRUZ 1.0	k r u z
CYCLONE 1.0	s 6j k l o n
DA 1.0	d 6
DAAN 1.0	d 6 a n
DAANG 1.0	d 6 a N
DADAAN 1.0	d 6 d 6 a n
DADAANAN 1.0	d 6 d 6 a n a n
DADALHIN 1.0	d 6 d 6 l h i n
DAGAT 1.0	d 6 g 6 t
DAGUPAN 1.0	d 6 g u p a n
DAHIL 1.0	d 6 h i l
DAHILAN 1.0	d 6 h i l a n
DALA 1.0	d 6 l a
DALANG 1.0	d 6 l a N
DALAWANG 1.0	d 6 l a w a N
DAM 1.0	d 6 m
DAMANG 1.0	d 6 m a N
DAMA 1.0	d 6 m 6
DAMI 1.0	d 6 m i
DAPAT 1.0	d 6 p a t
DAPITAN 1.0	d 6 p i t a n
DARANAS 1.0	d 6 r 6 n a s
DARATING 1.0	d 6 r 6 t i N
DASH 1.0	d a S
DATI 1.0	d a t i 
DATING 1.0	d 6 t i N 
DATOS 1.0	d a t o s
DAVAO 1.0	d a v aw
DAW 1.0	d 6w
DECEMBER 1.0	d e s e m b e r
DEFINITELY 1.0	d e f i n i t l i
DEGREES 1.0	d e g r i s
DEL 1.0	d e l
DELA 1.0	d e l a
DELIKADO 1.0	d e l i k a d o
DENR 1.0	d i e e n a r 
DEPRESSION 1.0	d e p r e S o n
DI 1.0	d i 
DIFFERENCE 1.0	d i f e r e n s
DILAW 1.0	d i l aw
DIN 1.0	d i n 
DINAGAT 1.0	d i n a g 6 t
DING 1.0	d i N
DIRECTION 1.0	d i r e k s i o n 
DITO 1.0	d i t o
DIYAN 1.0	d i a n
DIYES 1.0	d j e s
DOBLE 1.0	d o b l e
DOBLENG 1.0	d o b l e N
DOBOL 1.0	d o b o l
DOON 1.0	d o o n
DOS 1.0	d o s
DOST 1.0	d i ow e s t i
DOT 1.0	d i ow t i
DROUGHT 1.0	d r aw t 
DRY 1.0	d r aj
DULONG 1.0	d u l o N
DULOT 1.0	d u l o t
DUMAAN 1.0	d V m a 6 n
DUMAGUETE 1.0	d u m a g e t E
DUMAKO 1.0	d u m a k o
DZ 1.0	d i z i 
DZMM 1.0	d i z i e m e m
E 1.0	i
EACH 1.0	i t s
EAST 1.0	i S t
EASTER 1.0	i S t e r
EASTERLIES 1.0	i S t e r l i s
EASTERN 1.0	i S t e r n
ECIJA 1.0	e S h 6
ECMWF 1.0	i s i e m d a b 6 l j u e f
EEXTEND 1.0	e e k s t e n d
EH 1.0	e
EIGHT 1.0	ej t
EIGHTEEN 1.0	ej t i n
EIGHTY 1.0	ej t I
EL 1.0	e l 
ELEVEN 1.0	I l e v n
END 1.0	e n d 
ENERGY 1.0	e n e r dZ i
EPEKTO 1.0	e p e k t o
ESCOLIAR 1.0	e s k o l j a r
ESTAREJA 1.0	e s t a r e h 6
ETO 1.0	e t o
EUROPEAN 1.0	j U r o p I a n
EVACUATE 1.0	I v { k j u ej t 
EVENING 1.0	I v n i N
EXCEPT 1.0	I k s e p t
EXTENSION 1.0	I k s t e n S o n
EXTREME 1.0	I k s t r i m
FACEBOOK 1.0	f ej s b U k 
FACTOR 1.0	f { k t o r
FAIR 1.0	f @ r
FAIRWEATHER 1.0	F @ r w i D e r
FAR 1.0	f a r
FEBRUARY 1.0	f e b w a r i
FIFTEEN 1.0	f I f t i n
FIFTY 1.0	f I f t I
FIVE 1.0	f aj v
FLASH 1.0	f l { S
FLOOD 1.0	f l V d
FLOODING 1.0	f l V d I N
FOLLOW 1.0	f a l ow
FOR 1.0	f o r 
FORECAST 1.0	f o r k a s t
FORECASTER 1.0	f o r k a s t e r
FORECASTING 1.0	f o r k a s t I N
FORTICH 1.0	f o r i tS
FORTY 1.0	f o r t i
FOUR 1.0	f o r
FOURTEEN 1.0	f o r t i n
FROM 1.0	f r o m
FRONT 1.0	f r V n t 
GAANO 1.0	g a 6 n o
GABI 1.0	g 6 b i 
GAIN 1.0	g ej n
GALE 1.0	g ej l
GALING 1.0	g 6 l I N
GANAP 1.0	g 6 n a p
GANITONG 1.0	g a n i t o N
GANUN 1.0	g a n u n
GANUNG 1.0	g a n u N
GANYAN 1.0	g 6 n j a n
GANYANG 1.0	g 6 n j a N
GAYA 1.0	g 6 j 6
GAYUNDIN 1.0	g 6 j u n d i n
GENERAL 1.0	dZ e n e r a l
GENERALLY 1.0	dZ e n e r a l i
GEOHAZARD 1.0	dZ @ U h { z a r d
GINAGANAP 1.0	g i n a g 6 n a p
GINAGAWA 1.0	g i n a g 6 w a
GINOONG 1.0	g i n o o N
GITNA 1.0	g i t n a
GIWAN 1.0	g i w a n
GLAIZA 1.0	g l aj z a
GMA 1.0	dZ i e m ej
GOOD 1.0	g u d
GOV 1.0	g o v
GREEN 1.0	g r i n
GROUP 1.0	g r U p
GROUPS 1.0	g r U p s
GUARD 1.0	g a r d
GUMAGAMIT 1.0	g u m a g 6 m i t
GUMAMIT 1.0	g u m a m i t
GUSTINESS 1.0	g u s t i n e s
HA 1.0	h a
HABAGAT 1.0	h a b 6 g a t
HABANG 1.0	h a b 6 N
HAHATAKIN 1.0	h a h a t a k i n
HAILSTORM 1.0	h ej l s t o r m
HALOS 1.0	h a l o s
HAMOG 1.0	h a m o g
HANGGANG 1.0	h a N g a N
HANGIN 1.0	h a N i n
HANGING 1.0	h a N i N
HAPON 1.0	h a p o n
HAPONG 1.0	h a p o N
HAPPY 1.0	h { p j
HATAKIN 1.0	h 6 t 6 k i n
HAVE 1.0	h { v 
HEADLIGHT 1.0	h e d l j t
HEAT 1.0	h i t
HEAVY 1.0	h e v j
HIGHLY 1.0	h j l j
HIHIGUPIN 1.0	h i h i g u p i n 
HIHINA 1.0	h i h i n a
HILAGANG 1.0	h i l 6 g 6 N
HILAGA 1.0	h i l 6 g a
HIMAWARI 1.0	h i m 6 w 6 r i
HINAHATAK 1.0	h i n 6 h 6 t 6 k
HINATUAN 1.0	h i n 6 t u 6 n
HINDI 1.0	h i n d i
HIRIT 1.0	h i r i t
HISTORY 1.0	h i s t o r i
HO 1.0	h o
HOUR 1.0	a r
HULI 1.0	h u l i
HULING 1.0	h u l i N
HUMAHARANG 1.0	h u m 6 h 6 r a N
HUMIHINA 1.0	h u m i h i n a
HUMIHINGA 1.0	h u m i h i N a
HUNDRED 1.0	h u n d r e d
HUWEBES 1.0	h u w e b e s
I 1.0	aj
I 1.0	i
IBA 1.0	i b 6
IBA'T 1.0	i b a t
IBA'T-IBANG 1.0	i b a t i b a N
IBABANG 1.0	i b 6 b 6 N
IBANG 1.0	i b 6 N
IBIG 1.0	i b i k
IDENTIFIED 1.0	i d e n t i f aj d
IEXPLAIN 1.0	i e k s p l ej n
IFUGAO 1.0	i f u g a o
IGNACIO 1.0	i g n a s i o
IINGAT 1.0	i i N 6 t
IIRAL 1.0	i i r a l
IKALAWA 1.0	i k 6 l 6 w a
IKALAWANG 1.0	i k 6 l 6 w a N
IKATLO 1.0	i k a t l o
IKOCLOSE 1.0	i k o k l o s
ILALIM 1.0	i l a l i m
ILAN 1.0	i l 6 n
ILANG 1.0	i l 6 N
ILIGAN 1.0	i l i g a n
ILOCOS 1.0	i l o k o s
ILOILO 1.0	i l o i l o
IMAGE 1.0	i m ej tS
IMEDIA 1.0	i m e d j a
IMPORMASYON 1.0	i m p o r m 6 S o n
IN 1.0	i n
INA 1.0	i n a
INAASAHAN 1.0	i n a 6 s 6 h a n
INAASAHANG 1.0	i n a 6 s 6 h a N
INDEX 1.0	i n d e k s
INFANTA 1.0	i n f a n t 6
INGAT 1.0	i N a t
INGATAN 1.0	i N 6 t a n
INIT 1.0	i n i t
INTENSE 1.0	i n t e n s
INTENSITY 1.0	i n t e n s i t i
INTERTROPICAL 1.0	i n t e r t r o p i c a l
INYONG 1.0	i n j o N
IS 1.0	i s
ISA 1.0	i s 6
ISABELA 1.0	i s 6 b e l 6
ISANG 1.0	i s 6 N
ISLA 1.0	i s l 6
ISLAND 1.0	aj l a n d
ISLANDS 1.0	aj l a n d s
ISOLATED 1.0	aj s o l ej t e d
ITCZ 1.0	aj t i s i z i
ITINAAS 1.0	i t i n 6 a s
ITO 1.0	i t o
ITO'Y 1.0	i t oj
ITONG 1.0	i t o N
JACKET 1.0	dZ 6 k e t
JENNY 1.0	g e n i
JESSICA 1.0	g e s i k a
KA 1.0	k 6
KAALINSANGAN 1.0	k 6 6 l i n s 6 N a n
KABABAYAN 1.0	k 6 b 6 b 6 j a n
KABABAYANG 1.0	k 6 b 6 b 6 j a N
KABAYAN 1.0	k 6 b 6 j a n
KABIKULAN 1.0	k 6 b i k u l a n
KABILA 1.0	k 6 b i l 6
KABILANG 1.0	k 6 b i l a N
KABILISAN 1.0	k 6 b i l i s a n
KABISAYAAN 1.0	k 6 b i s a j 6 a n
KADA 1.0	k 6 d 6
KAGABI 1.0	k 6 g 6 b i
KAHAPON 1.0	k 6 h 6 p o n
KAHIT 1.0	k 6 h i t
KAILAN 1.0	k 6 i l a n
KAILANGAN 1.0	k a i l 6 N a n
KAKAIBANG 1.0	k 6 k 6 i b 6 N
KAKALIMUTAN 1.0	k 6 k 6 l i m u t a n
KAKAUNTI 1.0	k 6 k 6 u n t i
KALAKAS 1.0	k 6 l 6 k a s
KALAKASAN 1.0	k 6 l 6 k 6 s a n
KALANGITAN 1.0	k 6 l a N i t a n
KALAT-KALAT 1.0	k 6 l a t k 6 l a t
KALAYAAN 1.0	k 6 l 6 j 6 a n
KALINGA 1.0	k 6 l i N a
KALUPAAN 1.0	k 6 l u p 6 a n
KAMAYNILAAN 1.0	k 6 m aj n i l 6 a n
KANG 1.0	k 6 N
KANILANG 1.0	k 6 n i l a N
KANINA 1.0	k 6 n i n a
KANINANG 1.0	k 6 n i n 6 N
KANLURAN 1.0	k 6 n l u r a n
KANLURANG 1.0	k 6 n l u r a N
KANYANG 1.0	k a n j a N
KAPAG 1.0	k 6 p a k
KAPAL 1.0	k 6 p a l
KAPAMILYA 1.0	k 6 p 6 m i l j a
KAPUSO 1.0	k 6 p u s o
KARAGATAN 1.0	k 6 r 6 g 6 t a n
KAROON 1.0	k 6 r o o n
KASALUKUYAN 1.0	k 6 s 6 l u k u j a n
KASAMA 1.0	k 6 s 6 m a
KASI 1.0	k 6 s i
KASING 1.0	k 6 s i N
KATAMTAMAN 1.0	k 6 t a m t a m a n
KATAMTAMANG 1.0	k 6 t a m t a m a N
KATAWAN 1.0	k 6 t 6 w a n
KATULAD 1.0	k 6 t u l a d
KAUGNAY 1.0	k 6 u g n aj
KAULAPANG 1.0	k 6 u l 6 p a N
KAY 1.0	k aj
KAYA 1.0	k 6 j a
KAYA'Y 1.0	k 6 j aj
KAYAT 1.0	k 6 j a t
KAYO 1.0	k 6 j o
KESA 1.0	k e s a
KIDLAT 1.0	k i t l a t
KIKILOS 1.0	k i k i l o s
KILOMETERS 1.0	k i a m i t e r s
KILOMETRO 1.0	k i l o m e t r o
KILOS 1.0	k i l o s
KIM 1.0	k i m
KLASENG 1.0	k l 6 s e N
KLIMA 1.0	k l i m a
KO 1.0	k o
KONG 1.0	k o N
KPH 1.0	k ej p i ej tS
KRITIKAL 1.0	k r i t i k a l
KULAY 1.0	k u l aj
KULOG 1.0	k u l o g
KUMIKILOS 1.0	k u m i k i l o s
KUMPARA 1.0	k u m p a r a
KUNG 1.0	k u N
KUYA 1.0	k u j a
LA 1.0	l 6
LABAS 1.0	l a b a s
LAGAY 1.0	l a g aj
LAGING 1.0	l a g i N
LAGUNA 1.0	l a g u n 6
LAHAT 1.0	l a h a t
LAKAS 1.0	l a k a s
LALABAS 1.0	l 6 l 6 b a s
LALAKAS 1.0	l 6 l 6 k a s
LALANDFALL 1.0	l 6 l a n f o l
LALAWIGAN 1.0	l 6 l 6 w i g a n
LALO 1.0	l 6 l o
LALONG 1.0	l 6 l o N
LAMANG 1.0	l a m a N
LANAO 1.0	l 6 n a o
LAND 1.0	l a n d
LANDFALL 1.0	l a n d f o l
LANDMASS 1.0	l a n d m a s
LANDSLIDE 1.0	l a n d s l aj d
LANG 1.0	l a N
LAOAG 1.0	l aw 6 g
LAPU 1.0	l 6 p u
LAST 1.0	l a s t
LATE 1.0	l ej t
LATEST 1.0	l ej t e s t
LAYAG 1.0	l 6 j a g
LAYO 1.0	l 6 j o
LAYONG 1.0	l 6 j o N
LEBEL 1.0	l ej b e l
LEGAZPI 1.0	l e g 6 z p i
LESS 1.0	l e s
LEYTE 1.0	l ej t e
LIGHT 1.0	l aj t
LIKE 1.0	l aj k
LINDOL 1.0	l i n d o l
LINGGO 1.0	l i n g o
LINYA 1.0	l i n j a
LIWAYWAY 1.0	l i w aj w aj
LOCALIZE 1.0	l o k a l aj z
LOCALIZED 1.0	l o k a l aj z d
LOOB 1.0	l o o b
LORIDIN 1.0	l o r i d i n
LOW 1.0	l ow
LPA 1.0	e l p i ej
LUBHA 1.0	l u b h a
LUGAR 1.0	l u g a r
LULUBOG 1.0	l u l u b o g
LUMAKAS 1.0	l u m 6 k a s
LUMALABAS 1.0	l u m 6 l 6 b a s
LUMALAKAS 1.0	l u m 6 l 6 k a s
LUMALAPIT 1.0	l u m 6 l 6 p i t
LUPA 1.0	l u p a
LUZON 1.0	l u z o n
MA 1.0	m a
MAAARI 1.0	m a 6 6 r i
MAALINSANGAN 1.0	m a 6 l i n s a N a n
MAALINSANGANG 1.0	m a 6 l i n s a N a N
MAALIWALAS 1.0	m a 6 l i w a l a s
MAALON 1.0	m a 6 l o n
MAAPEKTUHAN 1.0	m a 6 p e k t u h a n
MAARAW 1.0	m a 6 r aw
MAARI 1.0	m a 6 r i
MAAYOS 1.0	m a 6 j o s
MABABA 1.0	m a b 6 b 6
MABABANG 1.0	m a b 6 b 6 N
MABAWASAN 1.0	m a b 6 w 6 s a n
MABILIS 1.0	m a b i l i s
MADALAS 1.0	m a d a l a s
MADALING 1.0	m a d 6 l i N
MADRE 1.0	m a d r e
MAG 1.0	m a g
MAGAGANAP 1.0	m a g 6 g 6 n a p
MAGANDA 1.0	m a g 6 n d a
MAGANDANG 1.0	m a g 6 n d a N
MAGBABAGO 1.0	m a g b 6 b 6 g o
MAGBAGO 1.0	m a g b 6 g o
MAGDADALA 1.0	m a g d 6 d 6 l a
MAGDAMAG 1.0	m a g d 6 m a g
MAGDULOT 1.0	m a g d u l o t
MAGHAPON 1.0	m a g h 6 p o n
MAGHAPONG 1.0	m a g h 6 p o N
MAGIGING 1.0	m a g i g i N
MAGING 1.0	m a g i N
MAGKAKAROON 1.0	m a g k 6 k 6 r o o n
MAGLALANDFALL 1.0	m a g l 6 l 6 n d f a l
MAGPAPATULOY 1.0	m a g p 6 p 6 t u l oj
MAGPAPAULAN 1.0	m a g p 6 p 6 u l a n
MAGPLANO 1.0	m a g p l 6 n o
MAGTUTULOY 1.0	m a g t u t u l oj
MAGUINDANAO 1.0	m a g i n d 6 n aw
MAHAL 1.0	m a h a l
MAHIHINANG 1.0	m a h i h i n a N
MAHINA 1.0	m a h i n a
MAHINANG 1.0	m a h i n a N
MAINIT 1.0	m a i n i t
MAINLAND 1.0	m ej n l 6 n d
MAINTAIN 1.0	m ej n t a i n
MAKAKAAPEKTO 1.0	m a k 6 k 6 6 p e k t o
MAKAKAASA 1.0	m a k 6 k 6 6 s 6
MAKAKAIPON 1.0	m a k 6 k 6 i p o n
MAKAKAPAL 1.0	m a k 6 k 6 p 6 l
MAKAKARANAS 1.0	m a k 6 k 6 r 6 n a s
MAKAPAL 1.0	m a k 6 p 6 l
MAKARANAS 1.0	m a k 6 r 6 n a s
MAKARARANAS 1.0	m a k 6 r 6 r 6 n a s
MAKIKITA 1.0	m a k i k i t a
MAKITA 1.0	m a k i t a
MAKULIMLIM 1.0	m a k u l i m l i m
MALA 1.0	m a l a
MALAKAS 1.0	m a l a k a s
MALAKI 1.0	m a l a k i
MALAKING 1.0	m a l a k i N
MALALAKAS 1.0	m a l 6 l 6 k a s
MALALAKI 1.0	m a l 6 l 6 k i
MALALAKING 1.0	m a l 6 l 6 k i N
MALALAMIG 1.0	m a l 6 l 6 m i g
MALAMIG 1.0	m a l 6 m i g
MALAPIT 1.0	m a l a p i t
MALAWAK 1.0	m a l 6 w a k
MALAYO 1.0	m a l a j o
MALIBAN 1.0	m a l i b a n
MALIIT 1.0	m a l i i t
MALILIIT 1.0	m a l i l i i t
MAMASYAL 1.0	m a m a S a l
MAMAYA 1.0	m a m a j a
MAMAYANG 1.0	m 6 m 6 j a N
MANATILING 1.0	m 6 n 6 t i l i N
MANG 1.0	m 6 N
MANGINGISDA 1.0	m 6 N i N i s d a
MANILA 1.0	m 6 n i l a
MANOLO 1.0	m a n o l o
MAP 1.0	m a p
MAPAMINSALA 1.0	m a p 6 m i n s a l a
MAPANGANIB 1.0	m a p a N a n i b
MAPANSING 1.0	m a p a n s i N
MAPAPANSIN 1.0	m a p a p a n s i n
MARA 1.0	m 6 r a
MARAMDAMAN 1.0	m a r a m d a m a n
MARAMI 1.0	m a r a m i
MARAMING 1.0	m a r a m i N
MARARAMDAMAN 1.0	m a r 6 r a m d a m a n
MARARAMDAMANG 1.0	m 6 r 6 r 6 m d 6 m 6 N
MARARANASAN 1.0	m 6 r 6 r 6 n 6 s 6 n
MARCH 1.0	m 6 r tS
MARILYN 1.0	m 6 r i l i n
MARINDUQUE 1.0	m 6 r i n d u k e
MARTES 1.0	m 6 r t e s
MAS 1.0	m 6 s
MASASABAYAN 1.0	m 6 s 6 s 6 b 6 j 6 n
MASAYA 1.0	m 6 s 6 j 6
MASBATE 1.0	m 6 s b 6 t e
MASS 1.0	m { s
MASUNGIT 1.0	m 6 s 6 N i t
MASYADONG 1.0	m 6 s j 6 d o N
MATA 1.0	m 6 t 6 
MATAAS 1.0	m 6 t 6 a s
MATAGAL 1.0	m 6 t 6 g 6 l
MATANAO 1.0	m 6 t 6 n 6 o
MATAPOS 1.0	m 6 t 6 p o s
MATINDING 1.0	m 6 t i n d i N
MATITINDING 1.0	m 6 t i t i n d i N
MAULAN 1.0	m 6 u l a n
MAULANG 1.0	m 6 u l 6 N
MAULAP 1.0	m 6 u l 6 p
MAWAWALA 1.0	m 6 w 6 w 6 l 6
MAXIMUM 1.0	m 6 k s i m u m
MAY 1.0	m 6 j
MAYO 1.0	m 6 j o 
MAYROON 1.0	m 6 j r o o n
MABABANG 1.0	m 6 b 6 b 6 N
MEDIUM 1.0	m e d i u m
MEDYO 1.0	m e d j o
MERON 1.0	m e r o n
MERONG 1.0	m e r o N
METEOROLOGIST 1.0	m e t e o r o l o g j s t
METRAWEATHER 1.0	m e t r 6 w e T e r
METRO 1.0	m e t r o
MGA 1.0	m N 6
MID 1.0	m i d
MIMAROPA 1.0	m i m 6 r o p 6
MINDANAO 1.0	m i n d 6 n 6 o
MINDORO 1.0	m i n d o r o
MINIMUM 1.0	m i n i m u m
MINSAN 1.0	m i n s 6 n
MINSANG 1.0	m i n s 6 N
MISAMIS 1.0	m i s 6 m i s
MIYERKULES 1.0	m i j e r k u l e s
MO 1.0	m o
MODERATE 1.0	m o d e r 6 j t
MOISTURE 1.0	m o j s t u r 
MOMENTUM 1.0	m o m e n t u m
MONSOON 1.0	m o n s u n
MORNING 1.0	m o r n i N
MOTORISTA 1.0	m o t o r i s t a
MOUNTAIN 1.0	m o u n t { i n
MULA 1.0	m u l a 
MULI 1.0	m u l i
MUNA 1.0	m u n 6
NA 1.0	n 6
NAAPEKTUHAN 1.0	n 6 a p e k t u h 6 n
NABALOT 1.0	n 6 b 6 l o t
NABANGGIT 1.0	n 6 b 6 N g i t
NABUBUO 1.0	n 6 b u b u o
NABUO 1.0	n 6 b u o
NAFORECAST 1.0	n 6 f o r k 6 s t
NAG 1.0	n 6 g
NAGBABAGANG 1.0	n 6 g b 6 b 6 g 6 N
NAGBIBIGAY 1.0	n 6 g b i b i g 6j
NAGI 1.0	n 6 g i
NAGIGING 1.0	n 6 g i g i N
NAGING 1.0	n 6 g i N
NAGKA 1.0	n 6 g k a
NAGKAKAMALI 1.0	n 6 g k 6 k 6 m 6 l i
NAGKAKAROON 1.0	n 6 g k 6 k 6 r o o n
NAGKAROON 1.0	n 6 g k 6 r o o n
NAGLALARO 1.0	n 6 g l 6 l 6 r o
NAGPAPALAKAS 1.0	n 6 g p 6 p 6 l 6 k 6 s
NAGPAPATULOY 1.0	n 6 g p 6 p 6 t u l o j
NAGPAPAULAN 1.0	n 6 g p 6 p 6 u l 6 n
NAGPAULAN 1.0	n 6 g p 6 u l 6 n
NAGTAAS 1.0	n 6 t 6 a s
NAGULAT 1.0	n 6 g u l 6 t
NAIA 1.0	n 6 i j 6
NAITALA 1.0	n 6 i t 6 l a
NAKA 1.0	n 6 k 6
NAKAKAAPEKTO 1.0	n 6 k 6 k 6 a p e k t o
NAKAKAKUHA 1.0	n 6 k 6 k 6 k u h 6
NAKAKAPAG 1.0	n 6 k 6 k 6 p 6 g
NAKAKATAKOT 1.0	n 6 k 6 k 6 t 6 k o t
NAKAKATULONG 1.0	n 6 k 6 k 6 t u l o N
NAKAMOTOR 1.0	n 6 k 6 m o t o r
NAKAPALOOB 1.0	n 6 k 6 p 6 l o o b
NAKAR 1.0	n 6 k 6 r
NAKARAANG 1.0	n 6 k 6 r 6 a N
NAKARANAS 1.0	n 6 k 6 r 6 n 6 s
NAKARARANAS 1.0	n 6 k 6 r 6 r 6 n 6 s
